raw_event,sample_count,phase,anchor,seconds_from_anchor
"Screening Tissue",3563,SCREENING,SCREENING,0
"C1D1 Cabo",3562,ON_TREATMENT,CYCLE_1,0
"Pre-Surgery or Surgery",3542,PROCEDURE,,
"Month 6",3539,ON_TREATMENT,BASELINE,15552000
"WK6V5",3516,ON_TREATMENT,BASELINE,3628800
"Q8W Week 17",3489,ON_TREATMENT,BASELINE,10281600
"Week 2 Day 15",3488,ON_TREATMENT,BASELINE,1209600
"D141",3484,ON_TREATMENT,BASELINE,12182400
"C1D1E",3483,ON_TREATMENT,CYCLE_1,0
"WK76",3477,ON_TREATMENT,BASELINE,45964800
"DBT Week 120",3474,ON_TREATMENT,BASELINE,72576000
"Week 7",3455,ON_TREATMENT,BASELINE,4233600
"Period 1 Day 1",3448,ON_TREATMENT,,
"Pretreatment",3444,ON_TREATMENT,,
"Week 97",3415,ON_TREATMENT,BASELINE,58665600
"Randomization Visit 3",3406,BASELINE,BASELINE,0
"Q8W Week 65",3364,ON_TREATMENT,BASELINE,39312000
"Day 113",3361,ON_TREATMENT,BASELINE,9763200
"Q8W Week 33",3358,ON_TREATMENT,BASELINE,19958400
"W284",3356,ON_TREATMENT,BASELINE,171763200
"DAY196",3354,ON_TREATMENT,BASELINE,16934400
"6 Months",3332,ON_TREATMENT,BASELINE,15552000
"Safety Follow Up Visit 2",3327,FOLLOW_UP,,
"Month 4",3325,ON_TREATMENT,BASELINE,10368000
"Week 24 Visit 9",3322,ON_TREATMENT,BASELINE,14515200
"WEEK_48",3282,ON_TREATMENT,BASELINE,29030400
"Cycle 10 Day 1",3265,ON_TREATMENT,CYCLE_10,0
"Week 6 Visit 5",3245,ON_TREATMENT,BASELINE,3628800
"Cycle 1",3242,ON_TREATMENT,CYCLE_1,0
"Run-In Visit 2",3228,BASELINE,BASELINE,0
"Screening Day -14",3227,SCREENING,SCREENING,0
"On-Tx Bone Marrow Aspirate/ Biopsy",3192,PROCEDURE,,
"Fresh Biopsy",3187,PROCEDURE,,
"WEEK 2",3179,ON_TREATMENT,BASELINE,1209600
"DBT Week 168",3174,ON_TREATMENT,BASELINE,101606400
"Cycle 01 Day 01",3169,ON_TREATMENT,CYCLE_1,0
"Tumor PD",3156,,,
"RCR",3155,,,
"POSTC16D1",3155,ON_TREATMENT,CYCLE_16,0
"Day 1/Baseline",3146,BASELINE,BASELINE,0
"C2",3141,ON_TREATMENT,CYCLE_2,0
"CYCLE1",3139,ON_TREATMENT,CYCLE_1,0
"Post Surgery",3125,PROCEDURE,,
"Q8W Week 81",3107,ON_TREATMENT,BASELINE,48988800
"Dose Change",3101,ON_TREATMENT,,
"Month 15",3101,ON_TREATMENT,BASELINE,38880000
"Visit 39 Week 310",3100,ON_TREATMENT,BASELINE,187488000
"AB",3088,,,
"W312",3076,ON_TREATMENT,BASELINE,188697600
"C1D8B",3068,ON_TREATMENT,CYCLE_1,604800
"V13",3058,ON_TREATMENT,,
"SCREEN 1",3058,SCREENING,SCREENING,0
"Week 109",3055,ON_TREATMENT,BASELINE,65923200
"DBT Week 144",3046,ON_TREATMENT,BASELINE,87091200
"Withdrawal visit",3045,END_OF_TREATMENT,,
"MONTH6",3022,ON_TREATMENT,BASELINE,15552000
"At any Time",3021,UNSCHEDULED,,
"W25IV",3014,ON_TREATMENT,BASELINE,15120000
"Week 54",3001,ON_TREATMENT,BASELINE,32659200
"Mandatory Fresh Biopsy",3000,PROCEDURE,,
"End of Study",2990,END_OF_TREATMENT,,
"MONTH 6",2990,ON_TREATMENT,BASELINE,15552000
"W69IV",2983,ON_TREATMENT,BASELINE,41731200
"Week 84",2977,ON_TREATMENT,BASELINE,50803200
"2",2977,,,
"C3D8",2973,ON_TREATMENT,CYCLE_3,604800
"Week 30",2972,ON_TREATMENT,BASELINE,18144000
"Day 12",2964,ON_TREATMENT,BASELINE,1036800
"Cycle 3 Day 8",2956,ON_TREATMENT,CYCLE_3,604800
"Week 192",2940,ON_TREATMENT,BASELINE,116121600
"W49",2939,ON_TREATMENT,BASELINE,29635200
"Screen Bone Marrow Aspirate/ Biopsy",2935,SCREENING,SCREENING,0
